Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
44,p2p police,155.370000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
45,gh bf15,460.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
46,Fest F3,462.612500,,0.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
47,sch frs3,462.612500,,0.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
48,sch frs5,462.662500,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
49,sch frs22,462.725000,,0.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,

60,G01 F15,462.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
61,G09 F01 C,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
62,G02 F16,462.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
63,G10 F02,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
64,G03 F17,462.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
65,G11 F03,462.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
66,G04 F18,462.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
67,G12 F04,462.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
68,G05 F19,462.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
69,G13 F05,462.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
70,G06 F20 C,462.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
71,G14 F06,462.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
72,G07 F21,462.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
73,G15 F07,462.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
74,G08 F22,462.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
75,G   F08,467.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
76,G   F09,467.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
77,G   F10,467.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
78,G   F11,467.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
79,G   F12,467.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
80,G   F13,467.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
81,G   F14,467.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,1.0W,,,,,
82,G01 R,462.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
83,G02 R,462.575000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
84,G03 R,462.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
85,G04 R,462.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
86,G05 R,462.650000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
87,G06 R,462.675000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
88,G07 R,462.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
89,G08 R,462.725000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,

100,WPXG847h,462.725000,+,5.000000,TSQL,88.5,173.8,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
101,"K0YCV 2m",145.21000,-,0.6,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
102,"K0YCV 70cm",444.15000,+,5,Tone,146.2,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
103,"SLU WD0EFP",443.47500,+,5,Tone,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, SLU Hospital",,,,
104,"Busch Stadium",145.27000,-,0.6,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Busch Stadium",,,,
105,"Bates/Virginia",146.61000,-,0.6,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Bates and Virginia",,,,
106,"Pine/Tucker",443.77500,+,5,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Pine Street and Tucker Street",,,,
107,"Forest Park",145.17000,-,0.6,,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Forest Park",,,,
108,"WashU",147.28500,+,0.6,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Washington University",,,,
109,"Shrewsbury",146.76000,-,0.6,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Shrewsbury",,,,
110,"Clayton",442.10000,+,5,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Clayton",,,,
111,"Tilles Park",145.35000,-,0.6,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Tilles Park",,,,
112,"Kirkwood Train Station",147.15000,+,0.6,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Kirkwood, Near Kirkwood Train Station",,,,
113,"Lindbergh/Olive 2m",146.85000,-,0.6,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Olivette, Lindbergh and Olive",,,,
114,"Lindbergh/Olive 1.25m",224.52000,-,1.6,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Olivette, Lindbergh and Olive",,,,
